Folder,Metric,Pair,Value
Baseline_prompting,Jensen-Shannon,SAT_1 vs Q1,0.2907672418851857
Baseline_prompting,Jensen-Shannon,SAT_2 vs Q2,0.29894147188530285
Baseline_prompting,Jensen-Shannon,SAT_3 vs Q3,0.4800752629004721
Baseline_prompting,Jensen-Shannon,LOY_1 vs Q4,0.27740571065201763
Baseline_prompting,Jensen-Shannon,LOY_2 vs Q5,0.3330395008195304
Baseline_prompting,Jensen-Shannon,LOY_3 vs Q6,0.3775333951839932
Baseline_prompting,Jensen-Shannon,TRUST_1 vs Q7,0.2979487377360608
Baseline_prompting,Jensen-Shannon,TRUST_2 vs Q8,0.3228110586548478
Baseline_prompting,Jensen-Shannon,TRUST_3 vs Q9,0.23826178374267354
Baseline_prompting,Jensen-Shannon,TRUST_4 vs Q10,0.23065657386383046
Baseline_prompting,Wasserstein,SAT_1 vs Q1,0.7748148148148148
Baseline_prompting,Wasserstein,SAT_2 vs Q2,0.7985185185185185
Baseline_prompting,Wasserstein,SAT_3 vs Q3,1.1748148148148148
Baseline_prompting,Wasserstein,LOY_1 vs Q4,0.788148148148148
Baseline_prompting,Wasserstein,LOY_2 vs Q5,0.8711111111111112
Baseline_prompting,Wasserstein,LOY_3 vs Q6,1.2059259259259258
Baseline_prompting,Wasserstein,TRUST_1 vs Q7,1.1185185185185185
Baseline_prompting,Wasserstein,TRUST_2 vs Q8,1.0607407407407408
Baseline_prompting,Wasserstein,TRUST_3 vs Q9,0.7466666666666667
Baseline_prompting,Wasserstein,TRUST_4 vs Q10,0.6992592592592592
Baseline_prompting,Jensen-Shannon (Average),Q1-Q10 Average,0.31474407373239144
Baseline_prompting,Wasserstein (Average),Q1-Q10 Average,0.9238518518518518
Demo_prompting,Jensen-Shannon,SAT_1 vs Q1,0.2602083041991696
Demo_prompting,Jensen-Shannon,SAT_2 vs Q2,0.20418217102626673
Demo_prompting,Jensen-Shannon,SAT_3 vs Q3,0.3196624725904773
Demo_prompting,Jensen-Shannon,LOY_1 vs Q4,0.23085615887347063
Demo_prompting,Jensen-Shannon,LOY_2 vs Q5,0.23888332553619615
Demo_prompting,Jensen-Shannon,LOY_3 vs Q6,0.1510907521458852
Demo_prompting,Jensen-Shannon,TRUST_1 vs Q7,0.32380217372716447
Demo_prompting,Jensen-Shannon,TRUST_2 vs Q8,0.3036243765674065
Demo_prompting,Jensen-Shannon,TRUST_3 vs Q9,0.16575170253894161
Demo_prompting,Jensen-Shannon,TRUST_4 vs Q10,0.21873322548474622
Demo_prompting,Wasserstein,SAT_1 vs Q1,0.8311111111111111
Demo_prompting,Wasserstein,SAT_2 vs Q2,0.597037037037037
Demo_prompting,Wasserstein,SAT_3 vs Q3,1.1259259259259258
Demo_prompting,Wasserstein,LOY_1 vs Q4,0.7777777777777777
Demo_prompting,Wasserstein,LOY_2 vs Q5,1.1081481481481483
Demo_prompting,Wasserstein,LOY_3 vs Q6,0.591111111111111
Demo_prompting,Wasserstein,TRUST_1 vs Q7,1.2696296296296294
Demo_prompting,Wasserstein,TRUST_2 vs Q8,1.1600000000000001
Demo_prompting,Wasserstein,TRUST_3 vs Q9,0.7481481481481483
Demo_prompting,Wasserstein,TRUST_4 vs Q10,0.9303703703703704
Demo_prompting,Jensen-Shannon (Average),Q1-Q10 Average,0.24167946626897238
Demo_prompting,Wasserstein (Average),Q1-Q10 Average,0.9139259259259258
Omni_prompting,Jensen-Shannon,SAT_1 vs Q1,0.02247666950049998
Omni_prompting,Jensen-Shannon,SAT_2 vs Q2,0.023377780601248857
Omni_prompting,Jensen-Shannon,SAT_3 vs Q3,0.047713809058478926
Omni_prompting,Jensen-Shannon,LOY_1 vs Q4,0.05637655025886751
Omni_prompting,Jensen-Shannon,LOY_2 vs Q5,0.0868421608316777
Omni_prompting,Jensen-Shannon,LOY_3 vs Q6,0.14379726570983065
Omni_prompting,Jensen-Shannon,TRUST_1 vs Q7,0.07149370766658551
Omni_prompting,Jensen-Shannon,TRUST_2 vs Q8,0.036342238192162146
Omni_prompting,Jensen-Shannon,TRUST_3 vs Q9,0.04368332082919356
Omni_prompting,Jensen-Shannon,TRUST_4 vs Q10,0.023446526496287156
Omni_prompting,Wasserstein,SAT_1 vs Q1,0.2666666666666666
Omni_prompting,Wasserstein,SAT_2 vs Q2,0.2740740740740741
Omni_prompting,Wasserstein,SAT_3 vs Q3,0.3718518518518518
Omni_prompting,Wasserstein,LOY_1 vs Q4,0.47703703703703704
Omni_prompting,Wasserstein,LOY_2 vs Q5,0.5585185185185186
Omni_prompting,Wasserstein,LOY_3 vs Q6,0.9288888888888889
Omni_prompting,Wasserstein,TRUST_1 vs Q7,0.6918518518518517
Omni_prompting,Wasserstein,TRUST_2 vs Q8,0.4251851851851851
Omni_prompting,Wasserstein,TRUST_3 vs Q9,0.3407407407407407
Omni_prompting,Wasserstein,TRUST_4 vs Q10,0.3229629629629629
Omni_prompting,Jensen-Shannon (Average),Q1-Q10 Average,0.05555500291448321
Omni_prompting,Wasserstein (Average),Q1-Q10 Average,0.46577777777777785
Persona_Driven_prompting,Jensen-Shannon,SAT_1 vs Q1,0.018497775854900495
Persona_Driven_prompting,Jensen-Shannon,SAT_2 vs Q2,0.009092085285242274
Persona_Driven_prompting,Jensen-Shannon,SAT_3 vs Q3,0.028626347555982423
Persona_Driven_prompting,Jensen-Shannon,LOY_1 vs Q4,0.04283439484825892
Persona_Driven_prompting,Jensen-Shannon,LOY_2 vs Q5,0.1111163602171796
Persona_Driven_prompting,Jensen-Shannon,LOY_3 vs Q6,0.16715926408161652
Persona_Driven_prompting,Jensen-Shannon,TRUST_1 vs Q7,0.13076474317036893
Persona_Driven_prompting,Jensen-Shannon,TRUST_2 vs Q8,0.07744185002037389
Persona_Driven_prompting,Jensen-Shannon,TRUST_3 vs Q9,0.02908744497675965
Persona_Driven_prompting,Jensen-Shannon,TRUST_4 vs Q10,0.05809748317153927
Persona_Driven_prompting,Wasserstein,SAT_1 vs Q1,0.21629629629629624
Persona_Driven_prompting,Wasserstein,SAT_2 vs Q2,0.23259259259259257
Persona_Driven_prompting,Wasserstein,SAT_3 vs Q3,0.39851851851851855
Persona_Driven_prompting,Wasserstein,LOY_1 vs Q4,0.46074074074074073
Persona_Driven_prompting,Wasserstein,LOY_2 vs Q5,0.5585185185185185
Persona_Driven_prompting,Wasserstein,LOY_3 vs Q6,0.9511111111111111
Persona_Driven_prompting,Wasserstein,TRUST_1 vs Q7,0.8296296296296296
Persona_Driven_prompting,Wasserstein,TRUST_2 vs Q8,0.49925925925925935
Persona_Driven_prompting,Wasserstein,TRUST_3 vs Q9,0.25629629629629636
Persona_Driven_prompting,Wasserstein,TRUST_4 vs Q10,0.4088888888888889
Persona_Driven_prompting,Jensen-Shannon (Average),Q1-Q10 Average,0.0672717749182222
Persona_Driven_prompting,Wasserstein (Average),Q1-Q10 Average,0.4811851851851852
